Parque distribuido por tipo de vehículo, carburante y año de matriculación.
Comunidad Autónoma/Provincia residencia: Madrid (Comunidad de)/Madrid
Tipo de Vehículo: AUTOBUSES, CAMIONES HASTA 3500kg, CAMIONES MÁS DE 3500kg, CICLOMOTORES, CUATRICICLOS LIGEROS, FURGONETAS, MOTOCICLETAS, OTROS VEHÍCULOS, REMOLQUES, SEMIRREMOLQUES, TRACTORES INDUSTRIALES, TURISMOS
Carburante: Otros, Gasolina, Gas Natural Licuado, Diesel, Eléctrico, Gas Natural Comprimido, Biodiesel, Gasolina, Etanol, Hidrógeno, Gas Licuado de Petroleo, Diesel, Biometano, Diesel, Diesel
Antigüedad Matriculación: 2014, 2015, 2016, 2017, 2018, 2019, 2020

Comunidad Autónoma/Provincia residencia;Tipo de Vehículo;Carburante;Antigüedad Matriculación;Total
TOTAL;OTROS VEHÍCULOS;Gas Licuado de Petroleo;2020;8
TOTAL;OTROS VEHÍCULOS;Gas Natural Comprimido;TOTAL;7
TOTAL;OTROS VEHÍCULOS;Gas Natural Comprimido;2015;1
TOTAL;OTROS VEHÍCULOS;Gas Natural Comprimido;2016;5
TOTAL;OTROS VEHÍCULOS;Gas Natural Comprimido;2020;1
TOTAL;OTROS VEHÍCULOS;Gas Natural Licuado;TOTAL;1
TOTAL;OTROS VEHÍCULOS;Gas Natural Licuado;2016;1
TOTAL;OTROS VEHÍCULOS;Gasolina;TOTAL;496
TOTAL;OTROS VEHÍCULOS;Gasolina;2014;24
TOTAL;OTROS VEHÍCULOS;Gasolina;2015;38
TOTAL;OTROS VEHÍCULOS;Gasolina;2016;34
TOTAL;OTROS VEHÍCULOS;Gasolina;2017;70
TOTAL;OTROS VEHÍCULOS;Gasolina;2018;72
TOTAL;OTROS VEHÍCULOS;Gasolina;2019;111
TOTAL;OTROS VEHÍCULOS;Gasolina;2020;147
TOTAL;OTROS VEHÍCULOS;Otros;TOTAL;1
TOTAL;OTROS VEHÍCULOS;Otros;2015;1
TOTAL;OTROS VEHÍCULOS;Sin especificar;TOTAL;98
TOTAL;OTROS VEHÍCULOS;Sin especificar;2014;11
TOTAL;OTROS VEHÍCULOS;Sin especificar;2015;8
TOTAL;OTROS VEHÍCULOS;Sin especificar;2016;14
TOTAL;OTROS VEHÍCULOS;Sin especificar;2017;18
TOTAL;OTROS VEHÍCULOS;Sin especificar;2018;18
TOTAL;OTROS VEHÍCULOS;Sin especificar;2019;22
TOTAL;OTROS VEHÍCULOS;Sin especificar;2020;7
TOTAL;REMOLQUES;TOTAL;TOTAL;4186
TOTAL;REMOLQUES;Sin especificar;TOTAL;4186
TOTAL;REMOLQUES;Sin especificar;2014;411
TOTAL;REMOLQUES;Sin especificar;2015;553
TOTAL;REMOLQUES;Sin especificar;2016;642
TOTAL;REMOLQUES;Sin especificar;2017;695
TOTAL;REMOLQUES;Sin especificar;2018;666
TOTAL;REMOLQUES;Sin especificar;2019;739
TOTAL;REMOLQUES;Sin especificar;2020;480
TOTAL;SEMIRREMOLQUES;TOTAL;TOTAL;8694
TOTAL;SEMIRREMOLQUES;Sin especificar;TOTAL;8694
TOTAL;SEMIRREMOLQUES;Sin especificar;2014;745
TOTAL;SEMIRREMOLQUES;Sin especificar;2015;994
TOTAL;SEMIRREMOLQUES;Sin especificar;2016;1521
TOTAL;SEMIRREMOLQUES;Sin especificar;2017;1694
TOTAL;SEMIRREMOLQUES;Sin especificar;2018;1452
TOTAL;SEMIRREMOLQUES;Sin especificar;2019;1254
TOTAL;SEMIRREMOLQUES;Sin especificar;2020;1034
TOTAL;TRACTORES INDUSTRIALES;TOTAL;TOTAL;15411
TOTAL;TRACTORES INDUSTRIALES;Diesel;TOTAL;15411
TOTAL;TRACTORES INDUSTRIALES;Diesel;2014;899
TOTAL;TRACTORES INDUSTRIALES;Diesel;2015;1300
TOTAL;TRACTORES INDUSTRIALES;Diesel;2016;1747
TOTAL;TRACTORES INDUSTRIALES;Diesel;2017;2110
TOTAL;TRACTORES INDUSTRIALES;Diesel;2018;2503
TOTAL;TRACTORES INDUSTRIALES;Diesel;2019;3616
TOTAL;TRACTORES INDUSTRIALES;Diesel;2020;3236
TOTAL;TURISMOS;TOTAL;TOTAL;1351352
TOTAL;TURISMOS;Biodiesel;TOTAL;1
TOTAL;TURISMOS;Biodiesel;2014;1
TOTAL;TURISMOS;Butano;TOTAL;33
TOTAL;TURISMOS;Butano;2014;1
TOTAL;TURISMOS;Butano;2016;4
TOTAL;TURISMOS;Butano;2017;10
TOTAL;TURISMOS;Butano;2018;7
TOTAL;TURISMOS;Butano;2019;7
TOTAL;TURISMOS;Butano;2020;4
TOTAL;TURISMOS;Diesel;TOTAL;648615
TOTAL;TURISMOS;Diesel;2014;80260
TOTAL;TURISMOS;Diesel;2015;91136
TOTAL;TURISMOS;Diesel;2016;91611
TOTAL;TURISMOS;Diesel;2017;90483
TOTAL;TURISMOS;Diesel;2018;92944
TOTAL;TURISMOS;Diesel;2019;106213
TOTAL;TURISMOS;Diesel;2020;95968
TOTAL;TURISMOS;Eléctrico;TOTAL;20873
TOTAL;TURISMOS;Eléctrico;2014;272
TOTAL;TURISMOS;Eléctrico;2015;550
TOTAL;TURISMOS;Eléctrico;2016;927
TOTAL;TURISMOS;Eléctrico;2017;2466
TOTAL;TURISMOS;Eléctrico;2018;4518
TOTAL;TURISMOS;Eléctrico;2019;5548
TOTAL;TURISMOS;Eléctrico;2020;6592
TOTAL;TURISMOS;Etanol;TOTAL;4
TOTAL;TURISMOS;Etanol;2014;1
TOTAL;TURISMOS;Etanol;2017;3
TOTAL;TURISMOS;Gas Licuado de Petroleo;TOTAL;25778
TOTAL;TURISMOS;Gas Licuado de Petroleo;2014;430
TOTAL;TURISMOS;Gas Licuado de Petroleo;2015;984
TOTAL;TURISMOS;Gas Licuado de Petroleo;2016;598
TOTAL;TURISMOS;Gas Licuado de Petroleo;2017;1859
TOTAL;TURISMOS;Gas Licuado de Petroleo;2018;6886
TOTAL;TURISMOS;Gas Licuado de Petroleo;2019;10496
TOTAL;TURISMOS;Gas Licuado de Petroleo;2020;4525
TOTAL;TURISMOS;Gas Natural Comprimido;TOTAL;7800
TOTAL;TURISMOS;Gas Natural Comprimido;2014;51
TOTAL;TURISMOS;Gas Natural Comprimido;2015;131
