CODIGO;NOMBRE CRUCE;TRAMO;SENTIDO;DESDE;HASTA;LATITUD;LONGITUD
5020572; C. LOPEZ DE HOYOS;Eugenio Salazar-Marcenado;Marcenado;04/02/2019;11/02/2019;40,44498;-3,67282
5020592; C. MARIA DE MOLINA;Principe de Vergara-Francisco Silvela;Principe de Vergara;29/01/2019;05/02/2019;40,43745;-3,67811
5020593; C. MARIA DE MOLINA;Principe de Vergara-Francisco Silvela;Francisco Silvela;05/02/2019;12/02/2019;40,43745;-3,67811
5020735;Lateral C. PRINCIPE DE VERGARA;Canillas-Luis Cabrera;Luis Cabrera;29/01/2019;05/02/2019;40,44018;-3,67804
5021295;Lateral C. CORAZON DE MARIA;San Nazario-Lopez de Hoyos;San Nazario;30/05/2019;06/06/2019;40,44897;-3,66656
5021296;Lateral C. CORAZON DE MARIA;San Nazario-Lopez de Hoyos;Lopez de Hoyos;30/05/2019;06/06/2019;40,44897;-3,66636
5021856; C. CLARA DEL REY;Padre Xifre-Cartagena;Cartagena;17/07/2019;24/07/2019;40,44019;-3,67345
5021857; C. CLARA DEL REY;Padre Xifre-Cartagena;Padre Xifre;17/07/2019;24/07/2019;40,44018;-3,67367
5031097; Av. RAMON Y CAJAL;Principe de Vergara-Plaza Virgen Guadalupana;Principe de Vergara;17/05/2019;24/05/2019;40,45153;-3,67571
5031098; Av. RAMON Y CAJAL;Principe de Vergara-Plaza Virgen Guadalupana;Plaza Virgen Guadalupana;17/05/2019;24/05/2019;40,45164;-3,67548
5031489; C. PADRE CLARET;Acceso M-30-Avenida Ramon y Cajal;Acceso M-30;10/06/2019;17/06/2019;40,45204;-3,66563
5031490; C. PADRE CLARET;Acceso M-30-Avenida Ramon y Cajal;Avenida Ramon y Cajal;10/06/2019;17/06/2019;40,45204;-3,66563
5040488; Paseo. HABANA;Infanta Maria Teresa-Herreros de Tejada;Herreros de Tejada;28/11/2019;05/12/2019;40,45507;-3,68274
5041276; Paseo. CASTELLANA;Rafael Salgado-Plaza de Lima;Plaza de Lima;29/05/2019;05/06/2019;40,45359;-3,69046
5041277;Lateral Paseo. CASTELLANA;Rafael Salgado-Plaza de Lima;Rafael Salgado;29/05/2019;05/06/2019;40,45338;-3,68993
5041278;Carril bus Paseo. CASTELLANA;Rafael Salgado-Plaza de Lima;Rafael Salgado;29/05/2019;05/06/2019;40,45372;-3,69053
5041279;Carril bus Paseo. CASTELLANA;Rafael Salgado-Plaza de Lima;Plaza de Lima;29/05/2019;05/06/2019;40,45356;-3,69042
5041280;Lateral Paseo. CASTELLANA;Rafael Salgado-Plaza de Lima;Plaza de Lima;30/05/2019;06/06/2019;40,45346;-3,69032
5042574; C. URUGUAY;Puerto Rico-Victor de la Serna;Puerto Rico;26/03/2019;02/04/2019;40,45537;-3,6722
5042575; C. URUGUAY;Puerto Rico-Victor de la Serna;Victor de la Serna;26/03/2019;02/04/2019;40,45537;-3,6722
5042961; C. FERNAN NUÑEZ;Cuarta-Ángel Diego Roldán;Cuarta;21/03/2019;28/03/2019;40,45708333;-3,668183333
5050018; Av. ALFONSO XIII;Plaza Jose Maria Soler-Santa Maria Magdalena;Plaza Jose Maria Soler;21/10/2019;28/10/2019;40,45951;-3,66873
5050019; Av. ALFONSO XIII;Plaza Jose Maria Soler-Santa Maria Magdalena;Santa Maria Magdalena;21/10/2019;28/10/2019;40,45967;-3,66885
5050075;Tunel Av. ALBERTO ALCOCER;Victor Andres Belaunde-Bolivia;Victor Andres Belaunde;21/10/2019;28/10/2019;40,45869;-3,68002
